country,degree_raw,closeness_raw,betweenness_raw,eigenvector_raw,pagerank_raw,degree_norm,closeness_norm,betweenness_norm,eigenvector_norm,pagerank_norm,composite_score,rank,is_hub,is_broker,role
Ukraine,19,0.0030211480362537764,577.1653489939812,0.08802421825651398,0.013623632191224545,0.6,0.0020578834449844568,0.23685062106687702,0.08802421825651396,0.48939503834875725,0.28326555222342653,21,FALSE,FALSE,Peripheral
Singapore,15,0.0032679738562091504,562.3149720881105,0.25109957419996387,0.01191992840146259,0.4666666666666667,0.002304947743992927,0.23075649050383562,0.25109957419996387,0.4200233026417545,0.27417019635124273,22,FALSE,FALSE,Peripheral
Morocco,14,0.0029239766081871343,513.5562739580491,0.10614410411165996,0.016074581734151324,0.43333333333333335,0.001960618131480069,0.2107474446478311,0.10614410411165995,0.5891932690886632,0.26827575386259356,23,FALSE,FALSE,Peripheral
Uruguay,8,0.0019083969465648854,0.4583333333333333,0.7297745946373756,0.009214419070323167,0.23333333333333334,9.440572334697791e-4,1.8808567569912103e-4,0.7297745946373756,0.3098598579159212,0.2548199857591598,24,FALSE,FALSE,Peripheral
Moldova,19,0.0028735632183908046,271.15370710906285,0.07360588263337499,0.0130707515167762,0.6,0.0019101560330945639,0.11127300702530105,0.07360588263337497,0.4668827376449483,0.2507343566673438,25,FALSE,FALSE,Peripheral
Liberia,1,1,0,2.3069405601405744e-17,0.0071428571428672075,0,1,0,1.198110897467359e-17,0.2255096044295195,0.2451019208859039,26,FALSE,FALSE,Peripheral
Sierra Leone,1,1,0,2.4299737108854586e-17,0.007142857142861751,0,1,0,1.3211440482122432e-17,0.22550960442929732,0.24510192088585944,27,FALSE,FALSE,Peripheral
India,10,0.0025906735751295338,431.31324280294854,0.12109279915979308,0.014643176352679902,0.3,0.0016269930665064707,0.17699747500488355,0.12109279915979307,0.5309090318816242,0.22612525982256146,28,FALSE,FALSE,Peripheral
Ecuador,9,0.002380952380952381,43.69181923814181,0.5771110669624581,0.007837916839266374,0.26666666666666666,0.0014170692431562,0.017929757114028565,0.5771110669624581,0.2538111776542463,0.2233871475281112,29,FALSE,FALSE,Peripheral
Iraq,13,0.0022371364653243847,159.53623732675334,0.08159950157388289,0.014672115996837893,0.4,0.0012731143749527174,0.06546868580966779,0.08159950157388288,0.5320874018295266,0.216085740717606,30,FALSE,FALSE,Peripheral
Guatemala,11,0.00228310502283105,156.19599016325392,0.3722050236516349,0.008626894474072432,0.3333333333333333,0.0013191273465246068,0.06409795276657937,0.3722050236516349,0.2859369193996171,0.21137847129953785,31,FALSE,FALSE,Peripheral
Costa Rica,10,0.0026595744680851063,83.56170510209158,0.3967407296418502,0.008122903038018133,0.3,0.0016959605303731114,0.03429111221824928,0.3967407296418502,0.26541530002502106,0.19962862048309873,32,FALSE,FALSE,Peripheral
Egypt,11,0.002770083102493075,104.16130422111038,0.11671288693528817,0.013611882837126922,0.3333333333333333,0.001806575936408527,0.04274454389700928,0.11671288693528815,0.48891662590870383,0.19670279320214862,33,FALSE,FALSE,Peripheral
Estonia,14,0.0027472527472527475,180.68452946610304,0.04094699082440947,0.010480934550466248,0.43333333333333335,0.001783723522853958,0.0741472839556576,0.04094699082440945,0.36143007668592786,0.18232828166443643,34,FALSE,FALSE,Peripheral
El Salvador,9,0.0022988505747126436,17.667401842012193,0.3811051612235673,0.006979395575827341,0.26666666666666666,0.0013348881114998057,0.0072501495562969295,0.3811051612235673,0.2188537451803442,0.17504212214767498,35,FALSE,FALSE,Peripheral
Bulgaria,14,0.0027548209366391185,71.86490709418521,0.06106849374320467,0.009554277006487115,0.43333333333333335,0.0017912990245006056,0.029491111876067747,0.06106849374320466,0.32369825815143805,0.16987649922570885,36,FALSE,FALSE,Peripheral
Georgia,12,0.002932551319648094,298.8538699721075,0.06549428351715211,0.008608518573922223,0.36666666666666664,0.0019692011276864017,0.12264028815054785,0.0654942835171521,0.28518868599410435,0.16839182509123146,37,FALSE,FALSE,Peripheral
Lithuania,13,0.0027247956403269754,133.03907670115902,0.04051385115538888,0.009637322628902604,0.4,0.0017612447182403347,0.054595079205217494,0.040513851155388865,0.3270797256368369,0.16478998014313673,38,FALSE,FALSE,Peripheral
